Mix_ID,Cement_kg_m3,Fly_Ash_kg_m3,Silica_Fume_kg_m3,Metakaolin_kg_m3,GGBS_kg_m3,RHA_kg_m3,POFA_kg_m3,Fine_Sand_kg_m3,Water_kg_m3,Extra_Water_kg_m3,Water_Binder_Ratio,Na2SiO3_Content_kg_m3,NaOH_Content_kg_m3,KOH_Content_kg_m3,Activator_Molarity_M,Superplasticizer_kg_m3,Polypropylene_Fiber_Content_%,PP_Fiber_kg_m3,Fiber_Length_mm,Compressive_Strength_MPa,Flexural_Strength_MPa,Tensile_Strength_MPa,Elastic_Modulus_GPa,Interlayer_Bond_Strength_MPa,RCPT,Water_Absorption_%,Sorptivity,Gas_Permeability,Chloride_Penetration,Acid_Attack_Loss_%,Sulphate_Resistance_%,Printing_Speed_mm_s,Layer_Height_mm,Nozzle_Diameter_mm,Build_Direction,Print_Orientation,Anisotropy_Index,Density_kg_m3,Porosity_%,SEM_Results,XRD_Results,FTIR_Results,Curing_Temperature_C,Curing_Duration_days,Heat_Curing_Conditions,Curing_Method,Dataset_Distribution,Validation_Dataset,Testing_Dataset,Statistical_Normalization,Missing_Data_Handled,Feature_Selection_Method
FT-CON,780,120,50,0,100,0,0,1450,240,15,0.31,,,,,8.5,0.0,0.0,,38.5,5.4,3.2,24.6,2.0,2950,6.8,0.31,2.82×10⁻17,High,14.6,71,18.0,10.0,20,Vertical,Longitudinal,1.28,2180,8.6,Weak ITZ and interconnected pores observed,Dominant C-S-H peaks,Broad Si–O stretching peak,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
FT-PP010,780,120,50,0,100,0,0,1450,240,14,0.31,,,,,8.5,0.1,0.9,12.0,40.2,5.8,3.5,25.4,2.3,2810,6.2,0.28,2.60×10⁻17,Moderate,12.8,75,18.0,10.0,20,Vertical,Longitudinal,1.22,2188,8.2,Slight pore refinement observed,Moderate hydration peaks,Improved silicate bonding,25,28,,Ambient curing,Balanced,0.15,0.15,Z-score normalization,Yes,PCA
FT-PP025,780,120,50,0,100,0,0,1450,240,12,0.31,,,,,8.5,0.25,2.3,12.0,42.6,6.1,3.8,26.2,2.7,2640,6.0,0.26,2.45×10⁻17,Moderate,11.5,79,18.0,10.0,20,Vertical,Longitudinal,1.18,2195,7.8,Reduced microcracks in matrix,Improved hydration products,Stronger aluminosilicate band,25,28,,Ambient curing,Balanced,0.15,0.15,Z-score normalization,Yes,Recursive feature elimination
FT-PP050,780,120,50,0,100,0,0,1450,240,10,0.31,,,,,8.8,0.5,4.5,12.0,48.8,7.0,4.4,28.8,3.5,2180,5.1,0.2,1.96×10⁻17,Low,8.2,86,18.0,10.0,20,Vertical,Longitudinal,1.1,2210,6.7,Dense fiber-bridged matrix,Reduced ettringite peaks,Dense silica gel formation,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
FT-PP075,780,120,50,0,100,0,0,1450,240,10,0.31,,,,,9.0,0.75,6.8,12.0,52.4,7.5,4.8,30.2,3.9,1960,4.6,0.17,1.72×10⁻17,Low,6.5,91,18.0,10.0,20,Vertical,Longitudinal,1.06,2225,6.1,Uniform pore refinement observed,High amorphous gel content,Strong geopolymeric gel band,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Mutual information
FT-PP100,780,120,50,0,100,0,0,1450,240,12,0.31,,,,,9.2,1.0,9.0,12.0,50.3,7.2,4.5,29.5,3.6,2050,4.9,0.19,1.85×10⁻17,Low,7.4,88,18.0,10.0,20,Vertical,Longitudinal,1.09,2240,7.0,Fiber agglomeration and voids observed,Minor crystalline peak increase,Slight reduction in silicate band,25,28,,Ambient curing,Slightly imbalanced,0.15,0.15,Standard scaling,Yes,Correlation-based
FT-GEO050,0,400,0,250,150,0,0,1450,210,15,0.32,95.0,38.0,0.0,12.0,8.5,0.5,4.5,12.0,54.6,7.8,5.1,32.4,4.0,1820,4.2,0.15,1.58×10⁻17,Very Low,5.2,94,18.0,10.0,20,Vertical,Longitudinal,1.04,2165,5.9,Dense geopolymer gel matrix,Strong N-A-S-H gel peaks,Highly polymerized aluminosilicate structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
BT-CON,820,100,50,0,120,0,0,1450,245,12,0.31,,,,,8.5,0.5,4.5,12.0,41.6,6.1,3.6,26.2,2.8,2860,6.5,0.3,2.74×10⁻17,High,13.8,73,18.0,10.0,20,Vertical,Longitudinal,1.26,2210,8.4,Weak interlayer pores observed,Dominant C-S-H peaks,Broad silicate gel band,25,28,,Ambient curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
BT-05,779,100,50,0,120,0,0,1450,245,12,0.31,,,,,8.5,0.5,4.5,12.0,44.3,6.5,3.9,27.5,3.1,2640,6.0,0.27,2.42×10⁻17,Moderate,11.4,78,18.0,10.0,20,Vertical,Longitudinal,1.2,2220,7.8,Improved particle packing observed,Increased aluminosilicate phases,Enhanced Si–O stretching peak,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
BT-10,738,100,50,0,120,0,0,1450,245,10,0.31,,,,,8.8,0.5,4.5,12.0,48.7,7.1,4.4,29.8,3.6,2280,5.3,0.22,2.05×10⁻17,Low,8.6,85,18.0,10.0,20,Vertical,Longitudinal,1.14,2235,7.1,Dense microstructure with reduced voids,Strong geopolymeric reaction peaks,Strong aluminosilicate bonding,25,28,,Ambient curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
